Haustyp;Zone;Typtag;Profiltag;Fheiz,TT;Fel,TT;FTWW,TT;;;;;;;;
;;;;;;;;;;;;;;
MFH;9;ÜWH;MFH9ÜWH;1.64E-03;1.06E-05;1.03E-05;;;;;;;;
MFH;9;ÜWB;MFH9ÜWB;1.96E-03;7.27E-07;1.48E-06;;;;;;;;
MFH;9;ÜSH;MFH9ÜSH;1.61E-03;-1.61E-05;1.48E-06;;;;;;;;
MFH;9;ÜSB;MFH9ÜSB;1.70E-03;-1.61E-05;1.42E-05;;;;;;;;
MFH;9;SWX;MFH9SWX;2.41E-04;-4.07E-05;-5.53E-05;;;;;;;;
MFH;9;SSX;MFH9SSX;2.32E-04;-4.27E-05;-4.65E-05;;;;;;;;
MFH;9;WWH;MFH9WWH;5.41E-03;4.91E-05;2.59E-05;;;;;;;;
MFH;9;WWB;MFH9WWB;4.89E-03;1.65E-05;2.50E-05;;;;;;;;
MFH;9;WSH;MFH9WSH;5.18E-03;2.94E-05;1.81E-05;;;;;;;;
MFH;9;WSB;MFH9WSB;3.98E-03;-2.23E-06;1.22E-05;;;;;;;;
;;;;;;;;;;;;;;
MFH;10;ÜWH;MFH10ÜWH;1.46E-03;6.84E-06;4.78E-06;;;;;;;;
MFH;10;ÜWB;MFH10ÜWB;1.66E-03;-2.89E-06;-3.84E-06;;;;;;;;
MFH;10;ÜSH;MFH10ÜSH;1.50E-03;-1.94E-05;-3.84E-06;;;;;;;;
MFH;10;ÜSB;MFH10ÜSB;1.52E-03;-1.94E-05;8.61E-06;;;;;;;;
MFH;10;SWX;MFH10SWX;2.28E-04;-4.37E-05;-5.94E-05;;;;;;;;
MFH;10;SSX;MFH10SSX;3.08E-04;-4.57E-05;-5.08E-05;;;;;;;;
MFH;10;WWH;MFH10WWH;5.46E-03;4.48E-05;2.01E-05;;;;;;;;
MFH;10;WWB;MFH10WWB;4.39E-03;1.27E-05;1.91E-05;;;;;;;;
MFH;10;WSH;MFH10WSH;5.08E-03;2.53E-05;1.24E-05;;;;;;;;
MFH;10;WSB;MFH10WSB;3.75E-03;-5.81E-06;6.69E-06;;;;;;;;
;;;;;;;;;;;;;;
MFH;11;ÜWH;MFH11ÜWH;1.14E-03;1.67E-06;-3.32E-06;;;;;;;;
MFH;11;ÜWB;MFH11ÜWB;1.65E-03;-7.86E-06;-1.17E-05;;;;;;;;
MFH;11;ÜSH;MFH11ÜSH;1.37E-03;-2.41E-05;-1.17E-05;;;;;;;;
MFH;11;ÜSB;MFH11ÜSB;1.38E-03;-2.41E-05;3.91E-07;;;;;;;;
MFH;11;SWX;MFH11SWX;3.05E-04;-4.79E-05;-6.54E-05;;;;;;;;
MFH;11;SSX;MFH11SSX;0.00E+00;-4.98E-05;-5.71E-05;;;;;;;;
MFH;11;WWH;MFH11WWH;4.20E-03;3.88E-05;1.15E-05;;;;;;;;
MFH;11;WWB;MFH11WWB;3.89E-03;7.39E-06;1.06E-05;;;;;;;;
MFH;11;WSH;MFH11WSH;3.38E-03;1.98E-05;4.10E-06;;;;;;;;
MFH;11;WSB;MFH11WSB;3.36E-03;-1.07E-05;-1.46E-06;;;;;;;;
;;;;;;;;;;;;;;
MFH;12;ÜWH;MFH12ÜWH;2.51E-03;1.95E-05;2.13E-05;;;;;;;;
MFH;12;ÜWB;MFH12ÜWB;2.96E-03;9.31E-06;1.21E-05;;;;;;;;
MFH;12;ÜSH;MFH12ÜSH;2.09E-03;-8.05E-06;1.21E-05;;;;;;;;
MFH;12;ÜSB;MFH12ÜSB;2.33E-03;-8.05E-06;2.54E-05;;;;;;;;
MFH;12;SWX;MFH12SWX;2.24E-04;-3.36E-05;-4.70E-05;;;;;;;;
MFH;12;SSX;MFH12SSX;2.48E-04;-3.56E-05;-3.79E-05;;;;;;;;
MFH;12;WWH;MFH12WWH;7.19E-03;5.93E-05;3.76E-05;;;;;;;;
MFH;12;WWB;MFH12WWB;5.64E-03;2.56E-05;3.66E-05;;;;;;;;
MFH;12;WSH;MFH12WSH;6.00E-03;3.89E-05;2.94E-05;;;;;;;;
MFH;12;WSB;MFH12WSB;4.84E-03;6.24E-06;2.33E-05;;;;;;;;
;;;;;;;;;;;;;;
MFH;13;ÜWH;MFH13ÜWH;1.52E-03;1.18E-05;1.21E-05;;;;;;;;
MFH;13;ÜWB;MFH13ÜWB;2.08E-03;1.90E-06;3.21E-06;;;;;;;;
MFH;13;ÜSH;MFH13ÜSH;1.52E-03;-1.50E-05;3.21E-06;;;;;;;;
MFH;13;ÜSB;MFH13ÜSB;1.69E-03;-1.50E-05;1.60E-05;;;;;;;;
MFH;13;SWX;MFH13SWX;2.27E-04;-3.98E-05;-5.39E-05;;;;;;;;
MFH;13;SSX;MFH13SSX;2.70E-04;-4.17E-05;-4.51E-05;;;;;;;;
MFH;13;WWH;MFH13WWH;6.18E-03;5.05E-05;2.78E-05;;;;;;;;
MFH;13;WWB;MFH13WWB;4.84E-03;1.78E-05;2.69E-05;;;;;;;;
MFH;13;WSH;MFH13WSH;5.46E-03;3.07E-05;2.00E-05;;;;;;;;
MFH;13;WSB;MFH13WSB;4.31E-03;-1.08E-06;1.40E-05;;;;;;;;
;;;;;;;;;;;;;;
MFH;14;ÜWH;MFH14ÜWH;1.27E-03;7.36E-06;4.78E-06;;;;;;;;
MFH;14;ÜWB;MFH14ÜWB;1.83E-03;-2.39E-06;-3.84E-06;;;;;;;;
MFH;14;ÜSH;MFH14ÜSH;1.40E-03;-1.90E-05;-3.84E-06;;;;;;;;
MFH;14;ÜSB;MFH14ÜSB;1.65E-03;-1.90E-05;8.61E-06;;;;;;;;
MFH;14;SWX;MFH14SWX;2.38E-04;-4.33E-05;-5.94E-05;;;;;;;;
MFH;14;SSX;MFH14SSX;2.45E-04;-4.53E-05;-5.08E-05;;;;;;;;
MFH;14;WWH;MFH14WWH;5.67E-03;4.54E-05;2.01E-05;;;;;;;;
MFH;14;WWB;MFH14WWB;4.41E-03;1.32E-05;1.91E-05;;;;;;;;
MFH;14;WSH;MFH14WSH;3.61E-03;2.59E-05;1.24E-05;;;;;;;;
MFH;14;WSB;MFH14WSB;3.85E-03;-5.31E-06;6.69E-06;;;;;;;;
;;;;;;;;;;;;;;
MFH;15;ÜWH;MFH15ÜWH;1.39E-03;7.97E-06;6.72E-06;;;;;;;;
MFH;15;ÜWB;MFH15ÜWB;1.82E-03;-1.80E-06;-1.96E-06;;;;;;;;
MFH;15;ÜSH;MFH15ÜSH;1.47E-03;-1.84E-05;-1.96E-06;;;;;;;;
MFH;15;ÜSB;MFH15ÜSB;1.73E-03;-1.84E-05;1.06E-05;;;;;;;;
MFH;15;SWX;MFH15SWX;2.36E-04;-4.28E-05;-5.79E-05;;;;;;;;
MFH;15;SSX;MFH15SSX;2.35E-04;-4.48E-05;-4.92E-05;;;;;;;;
MFH;15;WWH;MFH15WWH;5.64E-03;4.61E-05;2.22E-05;;;;;;;;
