time_steps;Last_L;Gaskessel;el_Leistungsbedarf_L;el_Leistung_L;el_Leistung_ges_L
2021-11-10 05:00:00;2207.7980791081604;2207.7980791081604;0.0;0.0;0.0
2021-11-10 06:00:00;2275.9087106339352;2275.9087106339352;0.0;0.0;0.0
2021-11-10 07:00:00;2197.808754941353;2197.808754941353;0.0;0.0;0.0
2021-11-10 08:00:00;2125.1112414947133;2125.1112414947133;0.0;0.0;0.0
2021-11-10 09:00:00;1989.9737037886096;1989.9737037886096;0.0;0.0;0.0
2021-11-10 10:00:00;1918.814211743003;1918.814211743003;0.0;0.0;0.0
2021-11-10 11:00:00;1853.9314643100613;1853.9314643100613;0.0;0.0;0.0
2021-11-10 12:00:00;1819.747393920684;1819.747393920684;0.0;0.0;0.0
2021-11-10 13:00:00;1789.153243505954;1789.153243505954;0.0;0.0;0.0
2021-11-10 14:00:00;1784.1164841435907;1784.1164841435907;0.0;0.0;0.0
2021-11-10 15:00:00;1836.3815753988088;1836.3815753988088;0.0;0.0;0.0
2021-11-10 16:00:00;1935.3049094547748;1935.3049094547748;0.0;0.0;0.0
2021-11-10 17:00:00;2037.4312667258164;2037.4312667258164;0.0;0.0;0.0
2021-11-10 18:00:00;2140.9686000601514;2140.9686000601514;0.0;0.0;0.0
2021-11-10 19:00:00;2228.350086299884;2228.350086299884;0.0;0.0;0.0
2021-11-10 20:00:00;2224.1450272297643;2224.1450272297643;0.0;0.0;0.0
2021-11-10 21:00:00;2040.078249462204;2040.078249462204;0.0;0.0;0.0
2021-11-10 22:00:00;1719.9438261598789;1719.9438261598789;0.0;0.0;0.0
2021-11-10 23:00:00;1277.7471231936406;1277.7471231936406;0.0;0.0;0.0
2021-11-11 00:00:00;985.6511885974992;985.6511885974992;0.0;0.0;0.0
2021-11-11 01:00:00;1096.1302658592683;1096.1302658592683;0.0;0.0;0.0
2021-11-11 02:00:00;1005.0996356669848;1005.0996356669848;0.0;0.0;0.0
2021-11-11 03:00:00;1112.6628075607157;1112.6628075607157;0.0;0.0;0.0
2021-11-11 04:00:00;1542.4098394675764;1542.4098394675764;0.0;0.0;0.0
2021-11-11 05:00:00;2265.5249159609107;2265.5249159609107;0.0;0.0;0.0
2021-11-11 06:00:00;2335.680336308587;2335.680336308587;0.0;0.0;0.0
2021-11-11 07:00:00;2256.262981026598;2256.262981026598;0.0;0.0;0.0
2021-11-11 08:00:00;2179.2620880286563;2179.2620880286563;0.0;0.0;0.0
2021-11-11 09:00:00;2028.40553853588;2028.40553853588;0.0;0.0;0.0
2021-11-11 10:00:00;1953.330147631036;1953.330147631036;0.0;0.0;0.0
2021-11-11 11:00:00;1885.904299372919;1885.904299372919;0.0;0.0;0.0
2021-11-11 12:00:00;1848.4434648883748;1848.4434648883748;0.0;0.0;0.0
2021-11-11 13:00:00;1818.076344720696;1818.076344720696;0.0;0.0;0.0
2021-11-11 14:00:00;1813.6688007637904;1813.6688007637904;0.0;0.0;0.0
2021-11-11 15:00:00;1872.524608294485;1872.524608294485;0.0;0.0;0.0
2021-11-11 16:00:00;1977.3218389891051;1977.3218389891051;0.0;0.0;0.0
2021-11-11 17:00:00;2084.3025533114137;2084.3025533114137;0.0;0.0;0.0
2021-11-11 18:00:00;2191.299869953459;2191.299869953459;0.0;0.0;0.0
2021-11-11 19:00:00;2282.060211212851;2282.060211212851;0.0;0.0;0.0
2021-11-11 20:00:00;2265.751472654325;2265.751472654325;0.0;0.0;0.0
2021-11-11 21:00:00;2082.9007480068226;2082.9007480068226;0.0;0.0;0.0
2021-11-11 22:00:00;1749.8159281062185;1749.8159281062185;0.0;0.0;0.0
2021-11-11 23:00:00;1297.2871879299494;1297.2871879299494;0.0;0.0;0.0
2021-11-12 00:00:00;898.7019902887968;898.7019902887968;0.0;0.0;0.0
2021-11-12 01:00:00;991.744169790818;991.744169790818;0.0;0.0;0.0
2021-11-12 02:00:00;924.9594294211444;924.9594294211444;0.0;0.0;0.0
2021-11-12 03:00:00;1014.1417934982828;1014.1417934982828;0.0;0.0;0.0
2021-11-12 04:00:00;1385.4146618746292;1385.4146618746292;0.0;0.0;0.0
2021-11-12 05:00:00;2036.3572189708973;2036.3572189708973;0.0;0.0;0.0
2021-11-12 06:00:00;2098.602930152711;2098.602930152711;0.0;0.0;0.0
2021-11-12 07:00:00;2027.936500769788;2027.936500769788;0.0;0.0;0.0
2021-11-12 08:00:00;1959.1044969748632;1959.1044969748632;0.0;0.0;0.0
2021-11-12 09:00:00;1835.205294907203;1835.205294907203;0.0;0.0;0.0
2021-11-12 10:00:00;1874.1794980396696;1874.1794980396696;0.0;0.0;0.0
2021-11-12 11:00:00;1747.1605126209356;1747.1605126209356;0.0;0.0;0.0
2021-11-12 12:00:00;1700.6921077913769;1700.6921077913769;0.0;0.0;0.0
2021-11-12 13:00:00;1636.4238116550964;1636.4238116550964;0.0;0.0;0.0
2021-11-12 14:00:00;1539.15880691911;1539.15880691911;0.0;0.0;0.0
2021-11-12 15:00:00;1504.5656893516204;1504.5656893516204;0.0;0.0;0.0
2021-11-12 16:00:00;1788.5750958361646;1788.5750958361646;0.0;0.0;0.0
2021-11-12 17:00:00;1881.448304874957;1881.448304874957;0.0;0.0;0.0
2021-11-12 18:00:00;1966.772717041349;1966.772717041349;0.0;0.0;0.0
2021-11-12 19:00:00;2034.51990651336;2034.51990651336;0.0;0.0;0.0
2021-11-12 20:00:00;2033.8198323001868;2033.8198323001868;0.0;0.0;0.0
2021-11-12 21:00:00;1866.111025033906;1866.111025033906;0.0;0.0;0.0
2021-11-12 22:00:00;1572.5181146441173;1572.5181146441173;0.0;0.0;0.0
2021-11-12 23:00:00;1169.448371849582;1169.448371849582;0.0;0.0;0.0
2021-11-13 00:00:00;823.735391362199;823.735391362199;0.0;0.0;0.0
2021-11-13 01:00:00;908.345287784555;908.345287784555;0.0;0.0;0.0
2021-11-13 02:00:00;850.2026293352798;850.2026293352798;0.0;0.0;0.0
2021-11-13 03:00:00;936.44508180873;936.44508180873;0.0;0.0;0.0
2021-11-13 04:00:00;1268.6351063650704;1268.6351063650704;0.0;0.0;0.0
2021-11-13 05:00:00;1864.1992092243183;1864.1992092243183;0.0;0.0;0.0
2021-11-13 06:00:00;1916.4949903858203;1916.4949903858203;0.0;0.0;0.0
2021-11-13 07:00:00;1851.1277399763287;1851.1277399763287;0.0;0.0;0.0
2021-11-13 08:00:00;1790.8586056081756;1790.8586056081756;0.0;0.0;0.0
2021-11-13 09:00:00;1681.4224794898037;1681.4224794898037;0.0;0.0;0.0
2021-11-13 10:00:00;1714.3778691080713;1714.3778691080713;0.0;0.0;0.0
2021-11-13 11:00:00;1600.690148349324;1600.690148349324;0.0;0.0;0.0
2021-11-13 12:00:00;1557.5758573649314;1557.5758573649314;0.0;0.0;0.0
2021-11-13 13:00:00;1494.9334347701708;1494.9334347701708;0.0;0.0;0.0
2021-11-13 14:00:00;1408.9497699089427;1408.9497699089427;0.0;0.0;0.0
2021-11-13 15:00:00;1401.0315641591949;1401.0315641591949;0.0;0.0;0.0
2021-11-13 16:00:00;1405.1263097313197;1405.1263097313197;0.0;0.0;0.0
2021-11-13 17:00:00;1473.627130176518;1473.627130176518;0.0;0.0;0.0
2021-11-13 18:00:00;1625.3294201432927;1625.3294201432927;0.0;0.0;0.0
2021-11-13 19:00:00;1796.8836637275908;1796.8836637275908;0.0;0.0;0.0
2021-11-13 20:00:00;1879.0523341490805;1879.0523341490805;0.0;0.0;0.0
2021-11-13 21:00:00;1853.6937743217795;1853.6937743217795;0.0;0.0;0.0
2021-11-13 22:00:00;1511.0575739091569;1511.0575739091569;0.0;0.0;0.0
2021-11-13 23:00:00;1074.9431137434651;1074.9431137434651;0.0;0.0;0.0
2021-11-14 00:00:00;578.3834358796174;578.3834358796174;0.0;0.0;0.0
2021-11-14 01:00:00;525.5088003972351;525.5088003972351;0.0;0.0;0.0
2021-11-14 02:00:00;513.7944669170722;513.7944669170722;0.0;0.0;0.0
2021-11-14 03:00:00;571.4261499339997;571.4261499339997;0.0;0.0;0.0
2021-11-14 04:00:00;875.8802169675929;875.8802169675929;0.0;0.0;0.0
2021-11-14 05:00:00;1339.5831615626362;1339.5831615626362;0.0;0.0;0.0
2021-11-14 06:00:00;1607.8310607047065;1607.8310607047065;0.0;0.0;0.0
2021-11-14 07:00:00;1425.9073491338063;1425.9073491338063;0.0;0.0;0.0
2021-11-14 08:00:00;1331.7848999064686;1331.7848999064686;0.0;0.0;0.0
2021-11-14 09:00:00;1233.2340736568806;1233.2340736568806;0.0;0.0;0.0
2021-11-14 10:00:00;1173.2142161118654;1173.2142161118654;0.0;0.0;0.0
2021-11-14 11:00:00;1171.1076877128755;1171.1076877128755;0.0;0.0;0.0
2021-11-14 12:00:00;1167.9471240192631;1167.9471240192631;0.0;0.0;0.0
2021-11-14 13:00:00;1025.686475091787;1025.686475091787;0.0;0.0;0.0
2021-11-14 14:00:00;1020.307119725162;1020.307119725162;0.0;0.0;0.0
2021-11-14 15:00:00;1017.7009924534212;1017.7009924534212;0.0;0.0;0.0
2021-11-14 16:00:00;1041.347719439075;1041.347719439075;0.0;0.0;0.0
2021-11-14 17:00:00;1085.529044521899;1085.529044521899;0.0;0.0;0.0
2021-11-14 18:00:00;1167.4637225162842;1167.4637225162842;0.0;0.0;0.0
2021-11-14 19:00:00;1266.6890750316663;1266.6890750316663;0.0;0.0;0.0
2021-11-14 20:00:00;1316.6975421202526;1316.6975421202526;0.0;0.0;0.0
2021-11-14 21:00:00;1297.923974271376;1297.923974271376;0.0;0.0;0.0
2021-11-14 22:00:00;1061.4714810613937;1061.4714810613937;0.0;0.0;0.0
2021-11-14 23:00:00;761.8591359987981;761.8591359987981;0.0;0.0;0.0
2021-11-15 00:00:00;708.1256606933586;708.1256606933586;0.0;0.0;0.0
2021-11-15 01:00:00;625.0944908414525;625.0944908414525;0.0;0.0;0.0
2021-11-15 02:00:00;608.8793586305094;608.8793586305094;0.0;0.0;0.0
2021-11-15 03:00:00;666.7647104169033;666.7647104169033;0.0;0.0;0.0
2021-11-15 04:00:00;1077.8789814093773;1077.8789814093773;0.0;0.0;0.0
2021-11-15 05:00:00;1677.7678171437133;1677.7678171437133;0.0;0.0;0.0
2021-11-15 06:00:00;2118.698435586547;2118.698435586547;0.0;0.0;0.0
2021-11-15 07:00:00;1587.4124086585543;1587.4124086585543;0.0;0.0;0.0
2021-11-15 08:00:00;1686.5204693467426;1686.5204693467426;0.0;0.0;0.0
2021-11-15 09:00:00;1557.226292675261;1557.226292675261;0.0;0.0;0.0
2021-11-15 10:00:00;1463.9505907129555;1463.9505907129555;0.0;0.0;0.0
2021-11-15 11:00:00;1379.3253918052194;1379.3253918052194;0.0;0.0;0.0
2021-11-15 12:00:00;1348.099407389445;1348.099407389445;0.0;0.0;0.0
2021-11-15 13:00:00;1306.7039838787805;1306.7039838787805;0.0;0.0;0.0
2021-11-15 14:00:00;1240.667351153558;1240.667351153558;0.0;0.0;0.0
2021-11-15 15:00:00;1235.218337162148;1235.218337162148;0.0;0.0;0.0
2021-11-15 16:00:00;1230.9528295222312;1230.9528295222312;0.0;0.0;0.0
2021-11-15 17:00:00;1260.5649519424708;1260.5649519424708;0.0;0.0;0.0
2021-11-15 18:00:00;1388.4262288363857;1388.4262288363857;0.0;0.0;0.0
2021-11-15 19:00:00;1559.4702035182854;1559.4702035182854;0.0;0.0;0.0
2021-11-15 20:00:00;1640.2149364334532;1640.2149364334532;0.0;0.0;0.0
2021-11-15 21:00:00;1629.095855707165;1629.095855707165;0.0;0.0;0.0
2021-11-15 22:00:00;1332.2270338469036;1332.2270338469036;0.0;0.0;0.0
2021-11-15 23:00:00;940.2939269972012;940.2939269972012;0.0;0.0;0.0
2021-11-16 00:00:00;736.3913778802527;736.3913778802527;0.0;0.0;0.0
2021-11-16 01:00:00;632.4567882014701;632.4567882014701;0.0;0.0;0.0
