;waerme_ges_W_1;waerme_ges_W_2;waerme_ges_W_3;waerme_ges_W_4;waerme_ges_W_5;waerme_ges_W_6;waerme_ges_W_7;waerme_ges_W_8;waerme_ges_W_9
2021-04-15T16:00:00;6834.337881647172;4962.435079185521;90896.47352144076;32906.07128200491;4962.435079185521;9924.870158371043;82265.17820501224;9924.870158371043;72517.14625776028
2021-04-15T17:00:00;5333.891119032403;5138.537025151654;110255.64683602614;25681.69798052638;5138.537025151654;10277.074050303308;64204.24495131596;10277.074050303308;98485.5274998815
2021-04-15T18:00:00;6303.2678528391625;6180.696565565227;100461.50885734535;30349.06743959597;6180.696565565227;12361.393131130453;75872.66859898991;12361.393131130453;93000.36942118853
2021-04-15T19:00:00;6492.27312510053;6723.45453884687;97425.89884056128;31259.0928245581;6723.45453884687;13446.90907769374;78147.73206139526;13446.90907769374;105622.4159500971
2021-04-15T20:00:00;5534.491806769928;6984.66350429208;91446.31986410354;26647.553143707053;6984.66350429208;13969.32700858416;66618.88285926764;13969.32700858416;105843.23551848248
2021-04-15T21:00:00;6696.352437480899;6844.691896784041;89063.6523792315;32241.69692120433;6844.691896784041;13689.383793568082;80604.24230301082;13689.383793568082;105551.75368821376
2021-04-15T22:00:00;6915.505789980274;5588.694279125878;80936.23612674729;33296.87972953465;5588.694279125878;11177.388558251756;83242.19932383663;11177.388558251756;95491.21415257565
2021-04-15T23:00:00;8087.802294619788;3927.5016064635693;69160.36028805275;38941.270307428604;3927.5016064635693;7855.0032129271385;97353.17576857151;7855.0032129271385;73532.91627233304
2021-04-16T00:00:00;12874.412877215605;2294.049365658447;50074.04257620231;61987.91385326033;2294.049365658447;4588.098731316894;154969.7846331508;4588.098731316894;43928.105478676945
2021-04-16T01:00:00;11128.060373563952;2011.4460340869575;70667.09178147091;53579.54994678939;2011.4460340869575;4022.892068173915;133948.8748669735;4022.892068173915;36380.14844093612
2021-04-16T02:00:00;9262.365196358922;2005.137924007237;61239.52243431905;44596.57316765406;2005.137924007237;4010.275848014474;111491.43291913513;4010.275848014474;40243.81276111049
2021-04-16T03:00:00;6967.379826515817;2235.594212253035;63818.61337524864;33546.64360915024;2235.594212253035;4471.18842450607;83866.60902287556;4471.18842450607;54076.950754232435
2021-04-16T04:00:00;9015.09404539939;3584.057876961341;88958.798300987;43406.0083667378;3584.057876961341;7168.115753922682;108515.0209168445;7168.115753922682;84035.59582180541
2021-04-16T05:00:00;9720.847122096373;5610.85364557562;94775.64033083741;46804.07873601957;5610.85364557562;11221.70729115124;117010.1968400489;11221.70729115124;78191.66900883974
2021-04-16T06:00:00;9551.706786196977;6871.634580175806;143080.02973834038;45989.699340948406;6871.634580175806;13743.269160351612;114974.24835237103;13743.269160351612;125703.6191076227
2021-04-16T07:00:00;10416.29723417004;5954.225104248419;136648.1737148836;50152.5422385965;5954.225104248419;11908.450208496837;125381.35559649122;11908.450208496837;130489.2534652017
2021-04-16T08:00:00;16115.12454144037;5528.6379442032585;128117.3344487319;77591.3403847129;5528.6379442032585;11057.275888406517;193978.3509617822;11057.275888406517;94690.2690167152
2021-04-16T09:00:00;15117.024843556865;5124.288088093159;109028.09365363607;72785.6751726812;5124.288088093159;10248.576176186318;181964.18793170297;10248.576176186318;87859.79838940602
2021-04-16T10:00:00;18371.90308413868;5066.6740160317095;95823.14803607654;88457.31114585292;5066.6740160317095;10133.348032063419;221143.27786463225;10133.348032063419;68785.42216808099
2021-04-16T11:00:00;12824.615214869595;4845.0490818975195;97457.8949094042;61748.14733085361;4845.0490818975195;9690.098163795039;154370.368327134;9690.098163795039;75536.96929024266
2021-04-16T12:00:00;16137.018341264913;4888.785311783584;88720.72836797808;77696.7549764607;4888.785311783584;9777.570623567168;194241.88744115172;9777.570623567168;56717.30074462085
2021-04-16T13:00:00;11012.152021551676;4251.455923395798;88149.36052875676;53021.472696359924;4251.455923395798;8502.911846791596;132553.6817408998;8502.911846791596;70571.96333005575
2021-04-16T14:00:00;6761.320534049544;4279.001337410577;67254.75607501024;32554.50627505336;4279.001337410577;8558.002674821155;81386.26568763341;8558.002674821155;73542.35706924272
2021-04-16T15:00:00;7532.32572002751;4229.798078788756;72742.26803086503;36266.75346679912;4229.798078788756;8459.596157577513;90666.8836669978;8459.596157577513;67493.94662930402
2021-04-16T16:00:00;7373.488348751427;4304.233777729461;68968.85959267423;35501.9809384328;4304.233777729461;8608.467555458921;88754.95234608198;8608.467555458921;66661.66239320334
2021-04-16T17:00:00;5429.662356486263;4442.591658811336;73476.31699097577;26142.818753452375;4442.591658811336;8885.183317622672;65357.046883630945;8885.183317622672;79554.89318865984
2021-04-16T18:00:00;4597.69796315369;4819.396100906656;68405.42741788652;22137.064267036283;4819.396100906656;9638.792201813312;55342.66066759071;9638.792201813312;88932.44057300132
