;waerme_ges_W_1;waerme_ges_W_2;waerme_ges_W_3;waerme_ges_W_4;waerme_ges_W_5;waerme_ges_W_6;waerme_ges_W_7;waerme_ges_W_8;waerme_ges_W_9;strombedarf_hast_ges_W_1;strombedarf_hast_ges_W_2;strombedarf_hast_ges_W_3;strombedarf_hast_ges_W_4;strombedarf_hast_ges_W_5;strombedarf_hast_ges_W_6;strombedarf_hast_ges_W_7;strombedarf_hast_ges_W_8;strombedarf_hast_ges_W_9
2021-08-05T22:00:00;1385.2270294327855;1277.9032817221487;14108.793818296888;6669.611623194893;1277.9032817221487;2555.8065634442974;16674.029057987234;2555.8065634442974;10581.595363722667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-05T23:00:00;1121.4890603761435;949.1870511226863;11422.573763090346;5399.762142551801;949.1870511226863;1898.3741022453726;13499.405356379499;1898.3741022453726;8566.930322317761;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-06T00:00:00;964.9278314102471;878.1426861031761;9827.968653252514;4645.94881790119;878.1426861031761;1756.2853722063521;11614.87204475297;1756.2853722063521;7370.976489939388;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-06T01:00:00;2112.6937170905553;879.4848083421182;21518.176748144546;10172.229008213786;879.4848083421182;1758.9696166842364;25430.57252053446;1758.9696166842364;16138.632561108412;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-06T02:00:00;3480.0176329401615;814.7471474049064;35444.624039205344;16755.64045489708;814.7471474049064;1629.4942948098128;41889.10113724269;1629.4942948098128;26583.46802940401;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-06T03:00:00;3806.840654947896;858.1687492530363;38773.37704113598;18329.232783082465;858.1687492530363;1716.3374985060725;45823.08195770615;1716.3374985060725;29080.03278085199;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-06T04:00:00;3576.0076114319445;1554.3354494290502;36422.29974606609;17217.814425413068;1554.3354494290502;3108.6708988581004;43044.536063532665;3108.6708988581004;27316.724809549578;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-06T05:00:00;2235.9570386776218;2218.449112604445;22773.636505049853;10765.71907511448;2218.449112604445;4436.89822520889;26914.29768778619;4436.89822520889;17080.227378787396;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-06T06:00:00;3740.714225320224;2373.266860284776;38099.86710974302;18010.846270060345;2373.266860284776;4746.533720569552;45027.11567515084;4746.533720569552;28574.90033230727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-06T07:00:00;4013.6000213182915;2132.790134413134;40879.259476390005;19324.74084338437;2132.790134413134;4265.580268826268;48311.85210846091;4265.580268826268;30659.444607292506;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-06T08:00:00;8116.79068922891;1886.6291261177378;82671.01627918334;39080.84405925032;1886.6291261177378;3773.2582522354755;97702.11014812575;3773.2582522354755;62003.26220938752;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-06T09:00:00;7411.035799746476;1982.3934952846128;75482.77203445484;35682.76496174229;1982.3934952846128;3964.7869905692255;89206.91240435571;3964.7869905692255;56612.079025841136;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-06T10:00:00;6936.113953779991;1896.6555687263053;70645.6050847962;33396.10422190367;1896.6555687263053;3793.3111374526106;83490.26055475915;3793.3111374526106;52984.20381359716;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-06T11:00:00;5864.835320802657;1854.3392440161279;59734.433822990024;28238.095989049838;1854.3392440161279;3708.6784880322557;70595.23997262458;3708.6784880322557;44800.82536724253;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-06T12:00:00;4556.476677455146;1859.6287846049008;46408.55875185797;21938.591409969224;1859.6287846049008;3719.2575692098017;54846.47852492305;3719.2575692098017;34806.41906389348;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
