Land;Bundesland;Stadt;Adresse;Wärmebedarf;UTM_X;UTM_Y
;;;;;486518.57779188856;5638190.40137384
;;;;;486490.47100081027;5638213.587222755
;;;;;486478.1948251848;5638237.8962650085
;;;;;486477.8642656437;5638191.335079393
;;;;;486500.09415007714;5638240.762304871
;;;;;486518.95116280887;5638206.296170105
;;;;;486502.04736874247;5638192.114118773
;;;;;486509.1580173065;5638191.6289874455
;;;;;486506.15877849766;5638222.620579194
;;;;;486479.305529635;5638218.16817515
;;;;;486511.0232917259;5638212.167264382
;;;;;486507.1138421159;5638203.056558073
;;;;;486531.16388816363;5638205.967938126
;;;;;486526.0191046384;5638239.727510104
;;;;;486522.0675315605;5638230.558004762
;;;;;486524.14801641164;5638106.789905088
;;;;;486528.73179699754;5638074.9685718985
;;;;;486522.4558255587;5638152.103705584
;;;;;486532.2135306338;5638050.919968701
;;;;;486524.67144007585;5638111.555421703
;;;;;486525.1651524106;5638160.122271933
;;;;;486531.81385965017;5638153.7814424075
;;;;;486525.5197900083;5638146.103468003
;;;;;486527.10361460334;5638138.03213225
;;;;;486525.28700755007;5638131.05131323
;;;;;486525.5548097322;5638123.133009173
;;;;;486531.9370207952;5638114.2702991245
;;;;;486533.89085703646;5638104.9520333735
;;;;;486531.0904449608;5638097.544122905
;;;;;486534.6851900816;5638088.8318052525
;;;;;486539.1678961446;5638078.731658131
;;;;;486537.8313464145;5638073.193536842
;;;;;486532.3732567235;5638067.569735199
;;;;;486540.90154624043;5638061.493445783
;;;;;486541.08578346187;5638052.140054051
;;;;;486548.8063965365;5638039.303978339
;;;;;486554.4426507273;5638025.651204886
;;;;;486558.5275031853;5638018.150355747
;;;;;486567.28020504344;5638012.298850492
;;;;;486568.7973932699;5638002.935397294
;;;;;486393.27117981744;5638222.525924999
;;;;;486597.5654763177;5638382.359597484
;;;;;486452.5792969439;5638219.290546047
;;;;;486409.4549627976;5638230.234349776
;;;;;486356.0029644932;5638250.435442041
;;;;;486374.58320541447;5638239.644499272
;;;;;486376.4448973179;5638263.0143620875
;;;;;486377.1652134545;5638248.0668677585
;;;;;486401.7968278117;5638206.262990293
;;;;;486571.15903169266;5638369.943503079
;;;;;486394.8634681381;5638170.999661385
;;;;;486072.8920975324;5638213.000151963
;;;;;486364.80104761367;5638243.228656457
;;;;;486071.83073725546;5638174.8282239875
;;;;;486058.65596389986;5638209.330544748
;;;;;486065.11019482824;5638237.841415283
;;;;;486084.18158059753;5638209.333563637
;;;;;486372.5694330032;5638211.927026114
;;;;;486582.16937379213;5638357.13417231
;;;;;486398.9381838415;5638245.933087906
;;;;;486587.25502779096;5638371.171462529
;;;;;486385.32912592037;5638250.827540845
;;;;;486595.1942773539;5638376.427514246
;;;;;486370.6956025576;5638258.077236581
;;;;;486602.8141558489;5638375.570120382
;;;;;486359.7591913335;5638261.4346144
;;;;;486349.4435478618;5638255.251067204
;;;;;486361.94040620216;5638202.170705169
;;;;;486451.4672380248;5638236.663264446
;;;;;486360.90068992635;5638184.624107667
;;;;;486549.4905071084;5638350.156134493
;;;;;486437.1035991847;5638234.052124175
;;;;;486354.7653008881;5638174.770220181
;;;;;486557.0254639936;5638364.733609853
;;;;;486419.5663433307;5638233.986758167
;;;;;486353.14739638043;5638164.694768769
;;;;;486574.84672193887;5638354.643632188
;;;;;486409.7941024323;5638245.612756578
