Haustyp;Zone;Typtag;Profiltag;Fheiz,TT;Fel,TT;FTWW,TT;;;;;;;;
EFH;3;SWX;EFH3SWX;0.00000000;-0.00013579;0.00021371;;;;;;;;
EFH;3;SSX;EFH3SSX;0.00000000;-0.00007652;0.00013785;;;;;;;;
EFH;3;WWH;EFH3WWH;0.00504050;-0.00000291;0.00006907;;;;;;;;
EFH;3;WWB;EFH3WWB;0.00496620;0.00005827;0.00001939;;;;;;;;
EFH;3;WSH;EFH3WSH;0.00568400;0.00010129;0.00073589;;;;;;;;
EFH;3;WSB;EFH3WSB;0.00425270;0.00020358;0.00039197;;;;;;;;
;;;;;;;;;;;;;;
EFH;4;ÜWH;EFH4ÜWH;0.00186910;-0.00005947;-0.00013251;;;;;;;;
EFH;4;ÜWB;EFH4ÜWB;0.00225610;0.00000116;-0.00006819;;;;;;;;
EFH;4;ÜSH;EFH4ÜSH;0.00254730;0.00008199;0.00030718;;;;;;;;
EFH;4;ÜSB;EFH4ÜSB;0.00254610;0.00015608;0.00035998;;;;;;;;
EFH;4;SWX;EFH4SWX;0.00000000;-0.00013068;-0.00021027;;;;;;;;
EFH;4;SSX;EFH4SSX;0.00000000;-0.00007101;0.00014301;;;;;;;;
EFH;4;WWH;EFH4WWH;0.00518580;0.00000308;0.00007389;;;;;;;;
EFH;4;WWB;EFH4WWB;0.00520360;0.00006467;0.00002397;;;;;;;;
EFH;4;WSH;EFH4WSH;0.00525360;0.00010797;0.00074399;;;;;;;;
EFH;4;WSB;EFH4WSB;0.00469860;0.00021093;0.00039838;;;;;;;;
;;;;;;;;;;;;;;
EFH;5;ÜWH;EFH5ÜWH;0.00168550;-0.00006197;-0.00012580;;;;;;;;
EFH;5;ÜWB;EFH5ÜWB;0.00268470;-0.00000152;-0.00006092;;;;;;;;
EFH;5;ÜSH;EFH5ÜSH;0.00185300;0.00007907;0.00031768;;;;;;;;
EFH;5;ÜSB;EFH5ÜSB;0.00274700;0.00015295;0.00037093;;;;;;;;
EFH;5;SWX;EFH5SWX;0.00000000;-0.00013297;-0.00020423;;;;;;;;
EFH;5;SSX;EFH5SSX;0.00000000;-0.00007348;0.00015210;;;;;;;;
EFH;5;WWH;EFH5WWH;0.00521140;0.00000040;0.00008238;;;;;;;;
EFH;5;WWB;EFH5WWB;0.00530660;0.00006180;0.00003203;;;;;;;;
EFH;5;WSH;EFH5WSH;0.00518480;0.00010498;0.00075824;;;;;;;;
EFH;5;WSB;EFH5WSB;0.00468050;0.00020764;0.00040966;;;;;;;;
;;;;;;;;;;;;;;
EFH;6;ÜWH;EFH6ÜWH;0.00123180;-0.00008581;-0.00015249;;;;;;;;
EFH;6;ÜWB;EFH6ÜWB;0.00174700;-0.00002706;-0.00008981;;;;;;;;
EFH;6;ÜSH;EFH6ÜSH;0.00151550;0.00005128;0.00027595;;;;;;;;
EFH;6;ÜSB;EFH6ÜSB;0.00198010;0.00012309;0.00032740;;;;;;;;
EFH;6;SWX;EFH6SWX;0.00000000;-0.00015482;-0.00022826;;;;;;;;
EFH;6;SSX;EFH6SSX;0.00000000;-0.00009700;0.00011599;;;;;;;;
EFH;6;WWH;EFH6WWH;0.00447810;-0.00002519;0.00004864;;;;;;;;
EFH;6;WWB;EFH6WWB;0.00449650;0.00003450;-0.00000001;;;;;;;;
EFH;6;WSH;EFH6WSH;0.00464040;0.00007646;0.00070159;;;;;;;;
EFH;6;WSB;EFH6WSB;0.00403790;0.00017625;0.00036482;;;;;;;;
