;waerme_ges_W_1;waerme_ges_W_2;waerme_ges_W_3;waerme_ges_W_4;waerme_ges_W_5;waerme_ges_W_6;waerme_ges_W_7;waerme_ges_W_8
2021-01-03T23:00:00;2280.093930563981;2464.9020598489456;1426.5620688490555;1820.2156931755715;1077.0577301696767;1890.3698596506233;2241.838975036581;2241.838975036581
2021-01-04T00:00:00;2362.2690794787154;2553.737739429138;1477.9757184677737;1885.8167167292993;1115.8751570221602;1958.4992567067757;2322.635405897181;2322.635405897181
2021-01-04T01:00:00;2493.606815442922;2695.72077423946;1560.148399962832;1990.664593785428;1177.9157255649845;2067.38814684126;2451.769583849575;2451.769583849575
2021-01-04T02:00:00;2579.489224718138;2788.56419822722;1613.8815316602129;2059.225150451534;1218.4843668632786;2138.591142380961;2536.2110754049677;2536.2110754049677
2021-01-04T03:00:00;2881.183870884002;3114.7120576689995;1802.6396055386003;2300.07019728797;1360.9971583092758;2388.7187613728865;2832.8439497213385;2832.8439497213385
2021-01-04T04:00:00;3519.972001699191;3805.2757920603945;2202.3033672971055;2810.019443122985;1662.7442420642678;2918.3223066517894;3460.914622273866;3460.914622273866
2021-01-04T05:00:00;4757.121180743344;5142.699447677986;2976.337308914414;3797.6446985169327;2247.1416955204877;3944.0122962646774;4677.30716222053;4677.30716222053
2021-01-04T06:00:00;5300.57380337012;5730.20045848578;3316.3535193273483;4231.486909551634;2503.854737178545;4394.575513942133;5211.641846489084;5211.641846489084
2021-01-04T07:00:00;4932.506335047767;5332.300069966809;3086.0686691957158;3937.6559524111813;2329.989131614428;4089.419818771985;4849.7497398231135;4849.7497398231135
2021-01-04T08:00:00;5124.384130009256;5539.730108571782;3206.1188041823702;4090.833402199156;2420.6272669740824;4248.500984450849;5038.408247888325;5038.408247888325
2021-01-04T09:00:00;5042.323186252142;5451.017890803617;3154.776608087449;4025.323549459645;2381.8637877007714;4180.466272085046;4957.724106074272;4957.724106074272
2021-01-04T10:00:00;4933.71311363243;5333.604661404575;3086.8237014912293;3938.619332598527;2330.559182780212;4090.4203292479515;4850.936271320378;4850.936271320378
2021-01-04T11:00:00;4634.432024635894;5010.065984838329;2899.575692203869;3699.7010461367827;2189.186493665782;3842.293731207962;4556.67645999854;4556.67645999854
2021-01-04T12:00:00;4617.537124450605;4991.801704709592;2889.00524006668;3686.2137235139426;2181.205777344807;3828.2865845444144;4540.065019036823;4540.065019036823
2021-01-04T13:00:00;4492.032151645604;4856.12419518181;2810.4818813332695;3586.0221840299846;2121.920456103272;3724.2334950437735;4416.665743321212;4416.665743321212
2021-01-04T14:00:00;4488.009556363393;4851.77555705592;2807.965107014893;3582.810916738832;2120.020285550659;3720.898460123882;4412.710638330328;4412.710638330328
2021-01-04T15:00:00;4481.975663440077;4845.252599867084;2804.189945537324;3577.9940158021036;2117.170029721738;3715.8959077440422;4406.777980844001;4406.777980844001
2021-01-04T16:00:00;4760.741516497335;5146.613221991289;2978.602405800954;3800.53483907897;2248.85184901784;3947.013827692581;4680.866756712327;4680.866756712327
2021-01-04T17:00:00;4851.853299639427;5245.109875542708;3035.6073441122276;3873.270043223576;2291.8907120345316;4022.552368628143;4770.449884755872;4770.449884755872
2021-01-04T18:00:00;5015.572927625435;5422.099447266445;3138.0400588702323;4003.9686219734804;2369.227653525893;4158.288289867761;4931.4226578848875;4931.4226578848875
2021-01-04T19:00:00;4721.923472023994;5104.648864076447;2954.3155336286018;3769.5461097193493;2230.515203185122;3914.8307407156212;4642.699993550287;4642.699993550287
2021-01-04T20:00:00;4638.454619918105;5014.41462296422;2902.092466522248;3702.912313427935;2191.086664218396;3845.6287661278543;4560.631564989424;4560.631564989424
2021-01-04T21:00:00;4375.578018225582;4730.231121437282;2737.6212648162123;3493.0559959511197;2066.9105186051165;3627.6842341128904;4302.165453835093;4302.165453835093
2021-01-04T22:00:00;4215.277596229453;4556.937892120551;2637.3278082288302;3365.086994398694;1991.1887220834767;3494.7830925551807;4144.554519948329;4144.554519948329
2021-01-04T23:00:00;3158.139556064265;3414.115792636553;1975.91951735896;2521.1659502838197;1491.8239008567016;2618.335915607474;3105.1529283437667;3105.1529283437667
2021-01-05T00:00:00;3001.9365329008533;3245.2520680377647;1878.1896366301623;2396.46793224507;1418.037610161032;2488.83182675558;2951.5706479595283;2951.5706479595283
2021-01-05T01:00:00;2972.526088049748;3213.45782258024;1859.788717049544;2372.9893586022667;1404.1448724321192;2464.4483494960737;2922.653645613022;2922.653645613022
2021-01-05T02:00:00;2934.0025476109763;3171.8118390936233;1835.686104077748;2342.235733971552;1385.947342730867;2432.5094285786918;2884.776445356332;2884.776445356332
2021-01-05T03:00:00;3042.9454630453524;3289.5848891686796;1903.847256890461;2429.2056616906702;1437.4091740365589;2522.83132321602;2991.8915385553596;2991.8915385553596
2021-01-05T04:00:00;3633.4326339643767;3927.9327328264458;2273.291071850623;2900.595897293726;1716.3401266079056;3012.3897293206255;3572.4716349630194;3572.4716349630194
2021-01-05T05:00:00;5755.5412110377965;6222.044274782768;3601.008128350736;4594.690725069563;2718.7696390758188;4771.777813834056;5658.975902866518;5658.975902866518
2021-01-05T06:00:00;5468.685815835112;5911.938430003391;3421.534370469353;4365.691961018273;2583.266528128321;4533.95305323957;5376.93330955729;5376.93330955729
2021-01-05T07:00:00;4826.62680852225;5217.838705226443;3019.8241542727546;3853.1315505063562;2279.974366440782;4001.6377046165335;4745.646638612449;4745.646638612449
2021-01-05T08:00:00;4802.60137470022;5191.8659413315645;3004.792417150559;3833.9518706291356;2268.6253694227967;3981.7188077003175;4722.024298667417;4722.024298667417
2021-01-05T09:00:00;4677.503426178617;5056.628446568572;2926.5237169625766;3734.0852616132656;2209.532315984321;3878.0031720331194;4599.02521826397;4599.02521826397
2021-01-05T10:00:00;4413.223654136289;4770.928043724899;2761.1746086184276;3523.108782963844;2084.6933487864826;3658.8953059547334;4339.179478868608;4339.179478868608
2021-01-05T11:00:00;4815.442554846476;5205.747935827103;3012.826621474491;3844.2030788393736;2274.691212656547;3992.3651146727775;4734.650032086312;4734.650032086312
2021-01-05T12:00:00;4784.789415142509;5172.61027154743;2993.648198249622;3819.7324527891283;2260.2114578404976;3966.9513496417435;4704.511184570238;4704.511184570238
