time_steps;Last_L;BHKW_1;Biomassekessel_1;Gaskessel_1;el_Leistungsbedarf_L;el_Leistung_L;el_Leistung_ges_L
2021-07-08 08:00:00;262.15068205094985;100.0;162.15068205094985;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-08 09:00:00;250.39610980866703;100.0;150.39610980866703;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-08 10:00:00;233.8577921703669;100.0;133.8577921703669;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-08 11:00:00;202.19222092370944;100.0;102.19222092370944;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-08 12:00:00;165.2685288994293;100.0;0.0;65.2685288994293;0.0;57.89473684210526;57.89473684210526
2021-07-08 13:00:00;144.9712013754739;100.0;0.0;44.971201375473896;0.0;57.89473684210526;57.89473684210526
2021-07-08 14:00:00;123.8386935315448;100.0;0.0;23.838693531544806;0.0;57.89473684210526;57.89473684210526
2021-07-08 15:00:00;92.97204711231362;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-08 16:00:00;57.08920552306468;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-08 17:00:00;57.8231369357407;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-08 18:00:00;63.56804947063076;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-08 19:00:00;69.79951287678863;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-08 20:00:00;61.14001035741144;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-08 21:00:00;68.66850814406368;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-08 22:00:00;83.57063438100408;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-08 23:00:00;73.02630580483914;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-09 00:00:00;46.2037846469585;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-09 01:00:00;74.54591937637349;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-09 02:00:00;103.79697230995916;100.0;0.0;3.796972309959159;0.0;57.89473684210526;57.89473684210526
2021-07-09 03:00:00;111.13304694466974;100.0;0.0;11.133046944669744;0.0;57.89473684210526;57.89473684210526
2021-07-09 04:00:00;106.94093010583909;100.0;0.0;6.940930105839087;0.0;57.89473684210526;57.89473684210526
2021-07-09 05:00:00;85.4971649955835;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-09 06:00:00;112.4437435247283;100.0;0.0;12.443743524728305;0.0;57.89473684210526;57.89473684210526
2021-07-09 07:00:00;118.88564382634112;100.0;0.0;18.885643826341123;0.0;57.89473684210526;57.89473684210526
2021-07-09 08:00:00;207.1076012886073;100.0;107.1076012886073;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-09 09:00:00;201.3569530625656;100.0;101.3569530625656;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-09 10:00:00;193.87575330067847;100.0;93.87575330067847;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-09 11:00:00;152.88422069305025;100.0;0.0;52.88422069305025;0.0;57.89473684210526;57.89473684210526
2021-07-09 12:00:00;141.8232486233465;100.0;0.0;41.8232486233465;0.0;57.89473684210526;57.89473684210526
2021-07-09 13:00:00;120.72951074160086;100.0;0.0;20.729510741600862;0.0;57.89473684210526;57.89473684210526
2021-07-09 14:00:00;96.80268438917376;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-09 15:00:00;79.00953463608624;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-09 16:00:00;26.883447040929664;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-09 17:00:00;54.45650297860775;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-09 18:00:00;56.9158637723417;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-09 19:00:00;51.90273803621394;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-09 20:00:00;42.974623755647166;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-09 21:00:00;65.58170206038953;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-09 22:00:00;55.04690365318209;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-09 23:00:00;58.283880944387015;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-10 00:00:00;49.05378645300056;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-10 01:00:00;51.474276752183286;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-10 02:00:00;52.50579050668542;0.0;0.0;52.50579050668542;0.0;0.0;0.0
2021-07-10 03:00:00;47.92162436798805;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-10 04:00:00;51.20250284781842;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-10 05:00:00;55.292872527077584;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-10 06:00:00;119.14974388559686;100.0;0.0;19.149743885596862;0.0;57.89473684210526;57.89473684210526
2021-07-10 07:00:00;148.7594924686898;100.0;0.0;48.759492468689814;0.0;57.89473684210526;57.89473684210526
2021-07-10 08:00:00;150.29327794412058;100.0;0.0;50.293277944120575;0.0;57.89473684210526;57.89473684210526
2021-07-10 09:00:00;170.57401577505846;100.0;0.0;70.57401577505846;0.0;57.89473684210526;57.89473684210526
2021-07-10 10:00:00;140.92497183614816;100.0;0.0;40.92497183614816;0.0;57.89473684210526;57.89473684210526
2021-07-10 11:00:00;106.6908676708383;100.0;0.0;6.690867670838301;0.0;57.89473684210526;57.89473684210526
2021-07-10 12:00:00;101.58698096191826;100.0;0.0;1.5869809619182575;0.0;57.89473684210526;57.89473684210526
2021-07-10 13:00:00;74.90776028522936;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-10 14:00:00;60.906189173401;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-10 15:00:00;65.23054518434307;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-10 16:00:00;68.978012204588;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-10 17:00:00;58.05111764404389;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-10 18:00:00;63.549331995445286;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-10 19:00:00;72.41762344459204;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-10 20:00:00;70.60130554835992;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-10 21:00:00;70.35596376768069;100.0;0.0;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-10 22:00:00;52.0460098326199;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-10 23:00:00;56.26732011429412;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-11 00:00:00;152.00031868917043;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-11 01:00:00;183.62133348762245;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-11 02:00:00;145.0152469940205;0.0;145.0152469940205;0.0;0.0;0.0;0.0
2021-07-11 03:00:00;139.48090103075327;100.0;0.0;39.48090103075327;0.0;57.89473684210526;57.89473684210526
2021-07-11 04:00:00;143.59192602903283;100.0;0.0;43.591926029032834;0.0;57.89473684210526;57.89473684210526
2021-07-11 05:00:00;161.0728747483002;100.0;0.0;61.072874748300194;0.0;57.89473684210526;57.89473684210526
2021-07-11 06:00:00;141.20082998173916;100.0;0.0;41.20082998173916;0.0;57.89473684210526;57.89473684210526
2021-07-11 07:00:00;172.76009300300035;100.0;72.76009300300035;0.0;0.0;57.89473684210526;57.89473684210526
2021-07-11 08:00:00;159.20944874452323;100.0;0.0;59.20944874452323;0.0;57.89473684210526;57.89473684210526
2021-07-11 09:00:00;159.04886624223508;100.0;0.0;59.04886624223508;0.0;57.89473684210526;57.89473684210526
2021-07-11 10:00:00;162.3357367937495;100.0;0.0;62.335736793749504;0.0;57.89473684210526;57.89473684210526
