;waerme_ges_W_1;waerme_ges_W_2;waerme_ges_W_3;waerme_ges_W_4;waerme_ges_W_5;waerme_ges_W_6;waerme_ges_W_7;waerme_ges_W_8;waerme_ges_W_9;waerme_ges_W_10;waerme_ges_W_11;waerme_ges_W_12;waerme_ges_W_13;waerme_ges_W_14;waerme_ges_W_15;waerme_ges_W_16
2021-03-17T19:00:00;4267.377569698452;6520.779786317893;6340.513314062509;6947.970200132223;6556.421826459642;6929.977824099126;4551.332123753929;7994.783773333883;5420.160440979168;6309.155172976256;8115.589726698948;4880.015564517294;7177.587189506952;8005.921910878181;6976.415289860735;4811.511864153862
2021-03-17T20:00:00;4242.636718068499;6515.953718386293;6335.820662419972;6942.827966032716;6551.569379641991;6924.848906264215;4524.944997010796;7988.866786278208;5416.148947975951;6304.485729680582;8109.583330438149;4851.722839286955;7172.275014506928;7999.9966804206115;6971.252003381015;4783.616300847707
2021-03-17T21:00:00;3983.2771124223045;5958.415870498797;5793.695906874349;6348.764605589811;5990.984076234429;6332.323924809806;4248.327405644235;7305.299071161821;4952.715940498961;5765.042148943481;7415.686499256151;4555.1287620841895;6558.5790079251365;7315.476635454204;6374.756539013442;4491.185692290819
2021-03-17T22:00:00;3352.595064092676;5026.730756124615;4887.767158199479;5356.042780485225;5054.20644849004;5342.172839627678;3575.679293412534;6163.009149044778;4178.286659667253;4863.593832704897;6256.135894802594;3833.9040375684913;5533.049644762489;6171.595302908973;5377.9704965076335;3780.085231062755
2021-03-17T23:00:00;2973.095560277307;3698.2920570578267;3596.0530481750593;3940.575183621267;3718.5066139471955;3930.3707198069214;3170.9276035390703;4534.280606876807;3074.0704277289146;3578.268125527201;4602.796292487406;3399.9224047980742;4070.8035789662363;4540.597655904732;3956.707954984898;3352.195658315814
2021-03-18T00:00:00;3800.8234083778516;3488.774240811928;3392.327336377858;3717.331401224609;3507.843590738057;3707.705046694592;4053.733093153136;4277.4018757376725;2899.9163822757696;3375.549975625542;4342.035970439212;4346.481436883088;3840.182020941011;4283.361047589585;3732.550209338731;4285.467274520082
2021-03-18T01:00:00;4056.6689087706573;3855.502664150418;3748.917579726015;4108.08499824741;3876.576521146878;4097.446753129006;4326.602748025965;4727.028230898247;3204.7460127645413;3730.376638233936;4798.456448121826;4639.05691295394;4243.849269282296;4733.61381120964;4124.903557196509;4573.935693455262
2021-03-18T02:00:00;4226.871211998073;3596.506587206839;3497.081430068521;3832.1215270793;3616.1647931809557;3822.1979134865974;4508.130442157467;4409.486816963323;2989.4649671503525;3479.7859892355227;4476.1167939429;4833.693988136668;3958.7657386433193;4415.630006330233;3847.8102876163366;4765.840531475699
2021-03-18T03:00:00;4650.208787859897;3924.714433200636;3816.2159945679814;4181.830980264524;3946.166595972112;4171.001763480846;4959.6372227839065;4811.885126278681;3262.275772233387;3797.3422167449994;4884.595581826229;5317.807222906449;4320.032413503838;4818.588927144766;4198.951456322529;5243.157978908698
2021-03-18T04:00:00;5492.547575170104;5474.9327897553085;5323.578679942343;5833.607500557326;5504.858317170801;5818.50086412162;5858.025874632164;6712.525995659424;4550.838258074056;5297.249970725827;6813.956268870582;6281.074786071926;6026.39695602251;6721.877722976762;5857.490373398535;6192.903578538506
2021-03-18T05:00:00;6289.083513363381;8136.297556220279;7911.370215358773;8669.324039839797;8180.769882170082;8646.874067605519;6707.563920894076;9975.484805355898;6763.000683260724;7872.243120893319;10126.220333214604;7191.963900661157;8955.828447401029;9989.382407215206;8704.81637689589;7091.005997236061
2021-03-18T06:00:00;7545.274079381018;8493.317541366203;8258.520409566203;9049.733177846623;8539.741308870385;9026.298102904606;8047.342364046157;10413.20815709207;7059.760528484636;8217.676421810116;10570.557945988458;8628.497090903107;9348.809372344724;10427.715584437125;9086.782915374002;8507.373710969701
2021-03-18T07:00:00;8078.104856682133;8194.548185375666;7968.010510203143;8731.390793935647;8239.338904421184;8708.780094417478;8615.628107139359;10046.902825902327;6811.41939484989;7928.6032910429;10198.71752266718;9237.822711618463;9019.946387786578;10060.899925604048;8767.137233173898;9108.145863116486
2021-03-18T08:00:00;8361.052634658923;7862.269058849504;7644.917215418862;8377.343341808242;7905.2435678167785;8355.649479108415;8917.403445791088;9639.512934505768;6535.224486268688;7607.107911856304;9785.171726918888;9561.391352527327;8654.198351501265;9652.942468558038;8411.640305695586;9427.172377277846
2021-03-18T09:00:00;7355.016090741453;7207.419243989742;7008.1706749910245;7679.592896569403;7246.814398316484;7659.705919625613;7844.424463918269;8836.636155137054;5990.904454371143;6973.510515174707;8970.16300033106;8410.925073740247;7933.388602328226;8848.947140864158;7711.03326011863;8292.855882481887
2021-03-18T10:00:00;6713.234157552722;6896.122870976541;6705.480067059284;7347.902823605555;6933.816505211131;7328.874787092901;7159.937872033882;8454.972109851304;5732.150694588189;6672.316917708657;8582.731783579122;7677.0069303760765;7590.736813386093;8466.751370549611;7377.985243235085;7569.240187525844
2021-03-18T11:00:00;6223.224978834299;6653.098740736859;6469.174320826858;7088.957655979856;6689.4640252818035;7070.600180608611;6637.323109311344;8157.013056388788;5530.145747312965;6437.179863751257;8280.270391024293;7116.650510104781;7323.2340083367;8168.37720780908;7117.979950376302;7016.749825836431
2021-03-18T12:00:00;5913.174923273529;6465.193485396899;6286.463692296634;6888.742320186788;6500.531695439537;6870.903319924879;6306.642086880714;7926.632344948697;5373.956355089854;6255.372863268733;8046.408489564369;6762.088704357902;7116.401942576861;7937.67553558702;6916.944930124663;6667.165216448885
2021-03-18T13:00:00;5661.6657872941605;6346.499999107156;6171.051478608374;6762.272966410834;6381.189440422507;6744.761469592989;6038.397341412507;7781.10852888904;5275.296722335588;6140.531441297271;7898.6857218088535;6474.4721346611295;6985.753021038561;7791.948979300084;6789.9578089990455;6383.586092749893
2021-03-18T14:00:00;5596.6203210926005;6360.592893257654;6184.754775748141;6777.289116595313;6395.359365160676;6759.73873414427;5969.023700343144;7798.387082247048;5287.010926752323;6154.166966333461;7916.2253644183465;6400.088539049898;7001.265425970551;7809.251604716739;6805.035435517919;6310.246664207052
2021-03-18T15:00:00;5420.455516796707;6623.660250733599;6440.549655690456;7057.590586705608;6659.864626939849;7039.314339101492;5781.136755780285;8120.920078263173;5505.676075864678;6408.696767008996;8243.632026462237;6198.632967602805;7290.8303180343255;8132.233945827624;7086.484463870212;6111.619045236855
2021-03-18T16:00:00;5366.250961628741;7021.3930412031805;6827.287152746101;7481.379714134266;7059.771391772641;7462.006027548719;5723.325388222483;8608.559250811364;5836.2769560702645;6793.521584697006;8738.639717885737;6136.646637926779;7728.624857225985;8620.55248536432;7512.008590069509;6050.502854784486
2021-03-18T17:00:00;5541.331674821275;7437.290006355625;7231.686677226334;7924.522990689587;7477.941615156855;7904.001745862044;5910.056105434185;9118.468558798762;6181.976144190749;7195.921079098327;9256.254059783698;6336.862482780351;8186.413162774428;9131.172186549144;7956.9661015598;6247.908149945637
2021-03-18T18:00:00;5423.978812882626;7903.608215024296;7685.113553695512;8421.390715682715;7946.808680382079;8399.582788458834;5784.894494671541;9690.196691022587;6569.586152557773;7647.1054519624595;9836.621345240072;6202.662079031748;8699.70140596843;9703.696836446892;8455.868010150945;6115.591597616259
2021-03-18T19:00:00;5554.340768061588;8363.662915181632;8132.450075880346;8911.584596149407;8409.378001279223;8888.507269032832;5923.93083364806;10254.245466198407;6951.989847850689;8092.229591477173;10409.193233981112;6351.739201902598;9206.095246970435;10268.531430603902;8948.068751400371;6262.576035654206
2021-03-18T20:00:00;5542.415765924635;8424.418947741551;8191.526512438452;8976.320888055832;8470.466121261556;8953.075920653906;5911.2123327853415;10328.735229564038;7002.491084669497;8151.0138549665235;10484.808582119818;6338.10220937387;9272.970948232782;10343.124971289035;9013.070074615069;6249.130473754683
2021-03-18T21:00:00;5076.527614255958;6919.297852468468;6728.014377911343;7372.5960483533645;6957.1181592250105;7353.504066577226;5414.323628626025;8483.385730928914;5751.414052962372;6694.739781101499;8611.574751425846;5805.329705808409;7616.24610149647;8495.204576790331;7402.779562399452;5723.836816816576
2021-03-18T22:00:00;4424.7178383611545;5939.685121296144;5775.482967840435;6328.806764418844;5972.150946314003;6312.417766212713;4719.141933743447;7282.334288621246;4937.146688172553;5746.919285252606;7392.374705148121;5059.944091454172;6537.961598668511;7292.479858939324;6354.716990154253;4988.914626626845
2021-03-18T23:00:00;4005.7166269127674;4357.836046759245;4237.363993330152;4643.327329267543;4381.655616258533;4631.303027356845;4272.260062521632;5342.912666148088;3622.2923213076588;4216.407352857218;5423.647264691348;4580.789763058475;4796.780325080266;5350.356281616614;4662.337178002553;4516.486474430035
2021-03-19T00:00:00;4677.195933775362;4146.59285112472;4031.960600129209;4418.24513413975;4169.257782880487;4406.803702243809;4988.420113945369;5083.918538447336;3446.7041171473697;4012.0198188248546;5160.739581177218;5348.66872741557;4564.259598335552;5091.001329621013;4436.33349313714;5273.586262000858
2021-03-19T01:00:00;4989.687865124349;4446.29817120337;4323.380588922771;4737.584799174411;4470.601267319686;4725.316409308001;5321.705496439202;5451.371405782952;3695.8232368038516;4301.99853801274;5533.744880600272;5706.022972232695;4894.152822231448;5458.966123319299;4756.980539344164;5625.924111319462
2021-03-19T02:00:00;5177.437599845227;4495.944850290698;4371.654789258854;4790.4839397891665;4520.519311027033;4778.078562975151;5521.948241522054;5512.240577473139;3737.0902286105284;4350.033989668712;5595.533821795811;5920.726642744003;4948.800177225166;5519.920096453243;4810.096249799895;5837.61385785508
2021-03-19T03:00:00;5387.780946710482;4833.615277906717;4699.9903430153045;5150.275888823348;4860.035417124793;5136.938799314224;5746.287994911488;5926.240458454193;4017.7664596485884;4676.7457012994;6015.7894880154545;6161.267534621923;5320.4825549397865;5934.4967519598395;5171.361192237773;6074.778133211084
2021-03-19T04:00:00;6011.173709961668;6056.164750432177;5888.742526291361;6452.917226461698;6089.267243418194;6436.206833367795;6411.161787483196;7425.143811325055;5033.966132888006;5859.618698327699;7537.342164955545;6874.156501624719;6666.173671660077;7435.4883403831855;6479.335562210156;6777.659850945447
2021-03-19T05:00:00;7182.222902796974;9189.016220486965;8934.986550440392;9791.00858496045;9239.24261912735;9765.653912569867;7660.133485627091;11266.167571951433;7638.034689394627;8890.796978559663;11436.406086573897;8213.32515837321;10114.582499278324;11281.86332152655;9831.093114644604;8098.029795438791
2021-03-19T06:00:00;8604.029368445927;9187.55602404322;8933.56672101874;9789.452727883545;9237.774441371252;9764.102084520837;9176.548036525712;11264.37730219584;7636.820954341489;8889.384171158017;11434.58876477403;9839.250581838496;10112.97522413145;11280.070557610847;9829.530887866495;9701.131130220381
2021-03-19T07:00:00;9053.355852218603;9053.217951218687;8802.942414226989;9646.313876808326;9102.7020878102;9621.333904009725;9655.77304679179;11099.672484681218;7525.157329452836;8759.405890206568;11267.39515918611;10353.08377296047;9965.105910619042;11115.136277366064;9685.806024280402;10207.751337183588
2021-03-19T08:00:00;8652.398791628255;8840.759368653795;8596.357233376983;9419.936672118707;8889.082224297877;9395.5429228753;9228.135997970783;10839.188235242324;7348.558879221319;8553.842413267039;11002.974837305204;9894.564069834627;9731.247376748866;10854.289127631098;9458.50202806543;9755.668149666846
2021-03-19T09:00:00;8283.26371997365;8655.314420298186;8416.038896827495;9222.342823351828;8702.623649273379;9198.460760648004;8834.438397468904;10611.82397628192;7194.414527472852;8374.41587325797;10772.174968721878;9472.434819337823;9527.123433095867;10626.608110336667;9260.099227245493;9339.464580206986
