Adresse;UTM_X;UTM_Y;Grundfläche;Wandfläche;Dachfläche;Volumen;Nutzungstyp;Typ;Gebäudezustand;ww_demand_Wh_per_m2;air_change_rate;floors;fracture_windows;fracture_doors;min_air_temp;room_temp;max_air_temp_heating;Jährlicher Wärmebedarf in kWh
Bad Muskau - Mužakow Jahnstraße, Bad Muskau, Görlitz, 02953;480290.386016256;5711328.245473733;60.7;73.6;65.4;137.0;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;40315.40
Bad Muskau - Mužakow Jahnstraße, Bad Muskau, Görlitz, 02953;480218.5222918239;5711198.804555248;80.8;185.9;84.8;336.3;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;68178.46
Bad Muskau - Mužakow Köbelner Straße, Bad Muskau, Görlitz, 02953;480108.9639841293;5711348.051529046;106.1;256.9;110.4;642.8;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;93684.01
Bad Muskau - Mužakow Köbelner Straße, Bad Muskau, Görlitz, 02953;480114.78344756056;5711210.401113388;263.1;351.4;264.3;997.1;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;180888.76
Bad Muskau - Mužakow Jahnstraße, Bad Muskau, Görlitz, 02953;480208.53498008824;5711215.513212735;95.6;383.5;118.0;809.7;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;113221.26
Bad Muskau - Mužakow Jahnstraße, Bad Muskau, Görlitz, 02953;480260.9021782277;5711305.555874963;113.0;191.4;113.5;300.7;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;82161.94
Bad Muskau - Mužakow Jahnstraße, Bad Muskau, Görlitz, 02953;480222.3417766332;5711251.574327881;165.4;380.8;254.9;1122.9;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;159889.48
Bad Muskau - Mužakow Berliner Straße, Bad Muskau, Görlitz, 02953;480282.32;5711154.414999999;43.8;99.3;43.8;159.1;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;36057.82
Bad Muskau - Mužakow Köbelner Straße, Bad Muskau, Görlitz, 02953;480153.9480716185;5711348.722418765;129.8;189.8;129.8;447.7;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;91040.32
Bad Muskau - Mužakow Köbelner Straße, Bad Muskau, Görlitz, 02953;480129.7864183039;5711361.328857879;373.1;725.7;388.0;2785.0;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;309330.10
Bad Muskau - Mužakow Berliner Chaussee, Bad Muskau, Görlitz, 02953;480085.1812162061;5711200.865563367;162.4;249.4;190.4;854.3;HMF;DE.N.SFH.01.GEN;Existing_state;12800;0.5;4;0.1;0.01;-15;20;15;124412.64
