Zeit;Gesamtwärmebedarf_Gebäude_kW;Gesamtheizlast_Gebäude_kW;Gesamtstrombedarf_Wärmepumpen_Gebäude_kW;Wärmeerzeugung_Heizentrale Haupteinspeisung_1_kW;Massenstrom_Heizentrale Haupteinspeisung_1_kg/s;Delta p_Heizentrale Haupteinspeisung_1_bar;Vorlauftemperatur_Heizentrale Haupteinspeisung_1_°C;Rücklauftemperatur_Heizentrale Haupteinspeisung_1_°C;Vorlaufdruck_Heizentrale Haupteinspeisung_1_bar;Rücklaufdruck_Heizentrale Haupteinspeisung_1_bar
2021-06-24 23:00:00;171.023805519816;291.46310518165825;120.43929966184227;161.60089533984203;2.7269549456700823;1.1641556773213235;6.100000000000023;-8.009658728845864;3.6641556773213235;2.5
2021-06-25 00:00:00;121.94242089031697;207.81736517927257;85.8749442889556;112.85312813404839;1.9667025845765262;1.1641556773213235;6.100000000000023;-7.562356791306229;3.6641556773213235;2.5
2021-06-25 01:00:00;111.72290967938095;190.4010150873957;78.67810540801474;102.60911379709928;1.809824298546323;1.1641556773213235;5.9599999999999795;-7.538957550677651;3.6641556773213235;2.5
2021-06-25 02:00:00;110.00478224872143;187.47293876190554;77.4681565131841;100.85919913387615;1.783572727141892;1.1641556773213235;5.899999999999977;-7.564040275137529;3.6641556773213235;2.5
2021-06-25 03:00:00;122.53372448658286;208.82507975882436;86.29135527224149;113.28648450228093;1.9727045771429368;1.1641556773213235;5.920000000000016;-7.753092673413846;3.6641556773213235;2.5
2021-06-25 04:00:00;190.70098813158165;324.99745864677993;134.2964705151983;181.00684404171665;3.0360694351184474;1.1641556773213235;5.8799999999999955;-8.314954545662033;3.6641556773213235;2.5
2021-06-25 05:00:00;295.696424819484;503.93334370644453;208.23691888696055;285.63883117719956;4.704795939848591;1.1641556773213235;5.839999999999975;-8.615301863861418;3.6641556773213235;2.5
2021-06-25 06:00:00;344.7188399514192;587.4785863960808;242.75974644466154;334.37376847290926;5.484786634071904;1.1641556773213235;5.660000000000025;-8.85520493482801;3.6641556773213235;2.5
2021-06-25 07:00:00;328.4524127182918;559.7569287170888;231.30451599879711;317.9505127045663;5.225973153831214;1.1641556773213235;5.439999999999998;-9.045819348191344;3.6641556773213235;2.5
2021-06-25 08:00:00;286.7487741741011;488.6845306347357;201.93575646063465;276.1830617995356;4.562430774448704;1.1641556773213235;5.240000000000009;-9.17290292562916;3.6641556773213235;2.5
2021-06-25 09:00:00;288.39996157499485;491.4985260644278;203.0985644894329;277.61666207863766;4.588702650357911;1.1641556773213235;5.0;-9.404769777719821;3.6641556773213235;2.5
