time_steps;Last_L;Erzeuger 0;Erzeuger 1;Erzeuger 2;Erzeuger 3;el_Leistungsbedarf_L;el_Leistung_L;el_Leistung_ges_L
1973-05-27 01:28:00;813.6642842574028;0.0;240.0;240.0;333.66428425740276;0.0;0.0;0.0
1973-05-27 01:32:00;675.9920151691372;0.0;240.0;240.0;195.99201516913718;0.0;0.0;0.0
1973-05-27 01:36:00;1049.4172603350369;0.0;240.0;240.0;569.4172603350369;0.0;0.0;0.0
1973-05-27 01:40:00;1088.7442430317958;0.0;240.0;240.0;608.7442430317958;0.0;0.0;0.0
1973-05-27 01:44:00;1133.426699989538;0.0;240.0;240.0;653.4266999895381;0.0;0.0;0.0
1973-05-27 01:48:00;1148.3136905127142;0.0;240.0;240.0;668.3136905127142;0.0;0.0;0.0
1973-05-27 01:52:00;1231.5424878371578;0.0;240.0;240.0;751.5424878371578;0.0;0.0;0.0
1973-05-27 01:56:00;1290.127235060763;0.0;240.0;240.0;810.127235060763;0.0;0.0;0.0
1973-05-27 02:00:00;1298.207084610611;0.0;240.0;240.0;818.207084610611;0.0;0.0;0.0
1973-05-27 02:04:00;1367.160326112618;0.0;240.0;240.0;887.1603261126179;0.0;0.0;0.0
1973-05-27 02:08:00;1248.678034395634;0.0;240.0;240.0;768.6780343956341;0.0;0.0;0.0
1973-05-27 02:12:00;1417.249283365429;0.0;240.0;240.0;937.2492833654289;0.0;0.0;0.0
1973-05-27 02:16:00;1320.7172427430137;0.0;240.0;240.0;840.7172427430137;0.0;0.0;0.0
1973-05-27 02:20:00;1035.3668419465812;0.0;240.0;240.0;555.3668419465812;0.0;0.0;0.0
1973-05-27 02:24:00;1192.2186304650163;0.0;240.0;240.0;712.2186304650163;0.0;0.0;0.0
1973-05-27 02:28:00;1255.338973968854;0.0;240.0;240.0;775.3389739688539;0.0;0.0;0.0
1973-05-27 02:32:00;1040.5145288190613;0.0;240.0;240.0;560.5145288190613;0.0;0.0;0.0
1973-05-27 02:36:00;967.1149703844226;0.0;240.0;240.0;487.1149703844226;0.0;0.0;0.0
1973-05-27 02:40:00;1002.5883139827282;0.0;240.0;240.0;522.5883139827282;0.0;0.0;0.0
1973-05-27 02:44:00;1097.9830796059132;0.0;240.0;240.0;617.9830796059132;0.0;0.0;0.0
1973-05-27 02:48:00;1277.4266292992788;0.0;240.0;240.0;797.4266292992788;0.0;0.0;0.0
1973-05-27 02:52:00;1211.4674732101184;0.0;240.0;240.0;731.4674732101184;0.0;0.0;0.0
1973-05-27 02:56:00;1133.4088065073086;0.0;240.0;240.0;653.4088065073086;0.0;0.0;0.0
1973-05-27 03:00:00;1141.5807535771432;0.0;240.0;240.0;661.5807535771432;0.0;0.0;0.0
1973-05-27 03:04:00;1228.9673916614538;0.0;240.0;240.0;748.9673916614538;0.0;0.0;0.0
1973-05-27 03:08:00;1040.0541849172275;0.0;240.0;240.0;560.0541849172275;0.0;0.0;0.0
1973-05-27 03:12:00;1067.784870084073;0.0;240.0;240.0;587.784870084073;0.0;0.0;0.0
1973-05-27 03:16:00;1082.3720241224137;0.0;240.0;240.0;602.3720241224137;0.0;0.0;0.0
1973-05-27 03:20:00;1095.6055228852165;0.0;240.0;240.0;615.6055228852165;0.0;0.0;0.0
1973-05-27 03:24:00;1173.321865791784;0.0;240.0;240.0;693.3218657917839;0.0;0.0;0.0
1973-05-27 03:28:00;1145.9311939707698;0.0;240.0;240.0;665.9311939707698;0.0;0.0;0.0
1973-05-27 03:32:00;1215.295981867074;0.0;240.0;240.0;735.295981867074;0.0;0.0;0.0
1973-05-27 03:36:00;1468.5448749399131;0.0;240.0;240.0;988.5448749399131;0.0;0.0;0.0
1973-05-27 03:40:00;1515.624381238043;0.0;240.0;240.0;1035.624381238043;0.0;0.0;0.0
1973-05-27 03:44:00;1628.430276825822;0.0;240.0;240.0;1148.430276825822;0.0;0.0;0.0
1973-05-27 03:48:00;1412.8178909345752;0.0;240.0;240.0;932.8178909345752;0.0;0.0;0.0
1973-05-27 03:52:00;1365.5019308612143;0.0;240.0;240.0;885.5019308612143;0.0;0.0;0.0
1973-05-27 03:56:00;1300.9532978787306;0.0;240.0;240.0;820.9532978787306;0.0;0.0;0.0
1973-05-27 04:00:00;1265.1049602354708;0.0;240.0;240.0;785.1049602354708;0.0;0.0;0.0
1973-05-27 04:04:00;1237.0004246072222;0.0;240.0;240.0;757.0004246072222;0.0;0.0;0.0
1973-05-27 04:08:00;1176.1096539951395;0.0;240.0;240.0;696.1096539951395;0.0;0.0;0.0
1973-05-27 04:12:00;1219.0531021771749;0.0;240.0;240.0;739.0531021771749;0.0;0.0;0.0
1973-05-27 04:16:00;1207.6122297640395;0.0;240.0;240.0;727.6122297640395;0.0;0.0;0.0
1973-05-27 04:20:00;1201.5045986798723;0.0;240.0;240.0;721.5045986798723;0.0;0.0;0.0
1973-05-27 04:24:00;1147.89836302324;0.0;240.0;240.0;667.8983630232401;0.0;0.0;0.0
1973-05-27 04:28:00;1227.8338870040366;0.0;240.0;240.0;747.8338870040366;0.0;0.0;0.0
1973-05-27 04:32:00;1221.991085663763;0.0;240.0;240.0;741.991085663763;0.0;0.0;0.0
1973-05-27 04:36:00;1041.3998203741696;0.0;240.0;240.0;561.3998203741696;0.0;0.0;0.0
1973-05-27 04:40:00;1059.2560932305498;0.0;240.0;240.0;579.2560932305498;0.0;0.0;0.0
1973-05-27 04:44:00;1018.66721265428;0.0;240.0;240.0;538.66721265428;0.0;0.0;0.0
1973-05-27 04:48:00;1023.2977439880672;0.0;240.0;240.0;543.2977439880672;0.0;0.0;0.0
1973-05-27 04:52:00;1025.5108246605514;0.0;240.0;240.0;545.5108246605514;0.0;0.0;0.0
1973-05-27 04:56:00;1058.2293412808997;0.0;240.0;240.0;578.2293412808997;0.0;0.0;0.0
1973-05-27 05:00:00;1137.2816006486185;0.0;240.0;240.0;657.2816006486185;0.0;0.0;0.0
1973-05-27 05:04:00;1118.174578686407;0.0;240.0;240.0;638.1745786864069;0.0;0.0;0.0
1973-05-27 05:08:00;1187.5019362476576;0.0;240.0;240.0;707.5019362476576;0.0;0.0;0.0
1973-05-27 05:12:00;1428.4413424457753;0.0;240.0;240.0;948.4413424457753;0.0;0.0;0.0
1973-05-27 05:16:00;1478.425562338659;0.0;240.0;240.0;998.4255623386589;0.0;0.0;0.0
1973-05-27 05:20:00;1587.1001002646658;0.0;240.0;240.0;1107.1001002646658;0.0;0.0;0.0
1973-05-27 05:24:00;1378.141551884118;0.0;240.0;240.0;898.1415518841179;0.0;0.0;0.0
1973-05-27 05:28:00;1336.4012648266175;0.0;240.0;240.0;856.4012648266175;0.0;0.0;0.0
1973-05-27 05:32:00;1268.2645281557989;0.0;240.0;240.0;788.2645281557989;0.0;0.0;0.0
1973-05-27 05:36:00;1236.5164765522532;0.0;240.0;240.0;756.5164765522532;0.0;0.0;0.0
1973-05-27 05:40:00;1207.9439272658497;0.0;240.0;240.0;727.9439272658497;0.0;0.0;0.0
