time_steps;Last_L;Erzeuger 0;el_Leistungsbedarf_L;el_Leistung_L;el_Leistung_ges_L
2021-01-11 19:00:00;284.27499442566324;200.0;123.01938785552613;0.0;-123.01938785552613
2021-01-11 20:00:00;279.2256406281755;200.0;123.01938785552613;0.0;-123.01938785552613
2021-01-11 21:00:00;256.9400979885693;200.0;123.01938785552613;0.0;-123.01938785552613
2021-01-11 22:00:00;220.9069749062316;200.0;123.01938785552613;0.0;-123.01938785552613
2021-01-11 23:00:00;166.66556593598511;166.66556593598511;123.01938785552613;0.0;-123.01938785552613
2021-01-12 00:00:00;141.49691837564467;141.49691837564467;120.31956877466547;0.0;-120.31956877466547
2021-01-12 01:00:00;152.07752973272744;152.07752973272744;120.31956877466547;0.0;-120.31956877466547
2021-01-12 02:00:00;153.72732821343175;153.72732821343175;120.31956877466547;0.0;-120.31956877466547
2021-01-12 03:00:00;164.00873882991522;164.00873882991522;120.31956877466547;0.0;-120.31956877466547
2021-01-12 04:00:00;202.2366483999277;200.0;120.31956877466547;0.0;-120.31956877466547
2021-01-12 05:00:00;298.0955099365084;200.0;120.31956877466547;0.0;-120.31956877466547
2021-01-12 06:00:00;298.1365226258693;200.0;120.31956877466547;0.0;-120.31956877466547
2021-01-12 07:00:00;294.79452596216066;200.0;120.31956877466547;0.0;-120.31956877466547
2021-01-12 08:00:00;287.40499876489633;200.0;120.31956877466547;0.0;-120.31956877466547
2021-01-12 09:00:00;281.19623038637343;200.0;120.31956877466547;0.0;-120.31956877466547
2021-01-12 10:00:00;274.6471528890996;200.0;120.31956877466547;0.0;-120.31956877466547
2021-01-12 11:00:00;264.4549349962765;200.0;120.31956877466547;0.0;-120.31956877466547
2021-01-12 12:00:00;262.1683854832375;200.0;120.31956877466547;0.0;-120.31956877466547
2021-01-12 13:00:00;264.738587790789;200.0;120.31956877466547;0.0;-120.31956877466547
2021-01-12 14:00:00;267.2676195062043;200.0;120.31956877466547;0.0;-120.31956877466547
