
REM Knotendaten
REM;
REM;
REM FLDNAM KNO;

REM Knotendaten
REM;Koordinate x;Koordinate y;Knotenname;Zufluss;Fluss-Status;Messdruck;Druck-Status;Temperatur;Höhe;Ber.Druck;Sättigungsdampfdruck;Abs.Druck;Diff.Druck;Qualität 1;Druckhöhe;Symbol-Nr.;Abgänge;Teilnetz;Gebiet;Letzte Änderung;Ort;Sohlhöhe;Letzter Benutzer;Minimale Laufzeit;Maximale Laufzeit;Betriebsdichte;Medium-Zähigkeit;Qualität 2;Qualität 3;Messtemp.;Wärmeleistung;Trennt;Text Abstand x;Text Abstand y;Ergebnisdiagramm;Einfügen Status;Import Status;Normdichte;Mittlere Laufzeit;Anzahl Abnehmer;Sim. Status;Verbindungsfehler;Kondensat;Vorlauf;Knoten Gegenüber;Drucklimit unten;Drucklimit oben;Temp.limit unten;Temp.limit oben;In Längsschnitt nicht ausblenden;STANET-ID;Smallworld URN;Aktiv f.Berechnung;Anzahl Sätze*;Gelöscht*;Satz No*
REM;m;m;;t/h;?;bar;!;C;mNN;bar;bar abs.;bar;bar;;m;;;;;;;mNN;;h;h;kg/m3;E-6kg/ms;;;C;kW;[J/N];;;[+];[I/U/D/K];[I/U/M];kg/m3;h;;;[J/N];t/h;[J/N];;bar;bar;C;C;[J/N];;;;;*;
REM FLDNAM KNO;XRECHTS;YHOCH;KNAM;ZUFLUSS;FSTATUS;PMESS;DSTATUS;TEMP;GEOH;PRECH;PSTEAM;PABS;DP;HO;HP;SYMBOL;ABGAENGE;NETZNR;GEBIET;LASTMODI;LOCATION;INVERT;USERNAME;TMIN;TMAX;RHO;ETA;QUALI2;QUALI3;TMESS;WAERMEMENG;DISCONNECT;FLAGOFFX;FLAGOFFY;SWMMPRINT;PASTESTATE;IMEXSTATE;RHON;TMED;ABNCOUNT;CALCBAD;LINKERR;KONDENSAT;SUPPLY;OTHERNODE;PLIMITLOW;PLIMITHIGH;TLIMITLOW;TLIMITHIGH;NOHIDECHRT;STANETID;SWURN;ISACTIVE;!RECCOUNT;!DELETED;!RECNO
KNO; 5486560.27844; 5638971.06511;K1029;     0.000;;  0.0000;;  90.0;   0.00;  4.0421;  0.7008;  5.0551;  0.0000;  0.0000;    42.704;  0;  1;   1;;     20240103114948;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   83;  0.0000;  0.0000;   0.00;   0.00;;KNO000015659549DCFDA2;;1;     126;;      21;
KNO; 5486545.74903; 5638972.90232;K1030;     0.000;;  0.0000;;  90.0;   0.00;  4.0447;  0.7008;  5.0577;  0.0000;  0.0000;    42.731;  0;  1;   1;;     20240103114948;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   84;  0.0000;  0.0000;   0.00;   0.00;;KNO000016659549DC6836;;1;     126;;      22;
KNO; 5486526.57797; 5638973.55208;K1031;     0.000;;  0.0000;;  90.0;   0.00;  4.0446;  0.7008;  5.0576;  0.0000;  0.0000;    42.731;  0;  1;   1;;     20240103114949;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   85;  0.0000;  0.0000;   0.00;   0.00;;KNO000017659549DDD01B;;1;     126;;      23;
KNO; 5486509.88629; 5638976.29473;K1032;     0.000;;  0.0000;;  90.0;   0.00;  4.0480;  0.7008;  5.0610;  0.0000;  0.0000;    42.766;  0;  1;   1;;     20240103114949;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   86;  0.0000;  0.0000;   0.00;   0.00;;KNO000018659549DD5389;;1;     126;;      24;
KNO; 5486499.37619; 5638977.82167;K1033;     0.000;;  0.0000;;  90.0;   0.00;  4.0484;  0.7008;  5.0614;  0.0000;  0.0000;    42.770;  0;  1;   1;;     20240103114950;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   87;  0.0000;  0.0000;   0.00;   0.00;;KNO000019659549DED918;;1;     126;;      25;
KNO; 5486481.75840; 5638981.16662;K1034;     0.000;;  0.0000;;  90.0;   0.00;  4.0511;  0.7008;  5.0641;  0.0000;  0.0000;    42.799;  0;  1;   1;;     20240103114950;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   88;  0.0000;  0.0000;   0.00;   0.00;;KNO00001A659549DE599D;;1;     126;;      26;
KNO; 5486466.94418; 5638992.30160;K1035;     0.000;;  0.0000;;  90.0;   0.00;  4.0512;  0.7008;  5.0642;  0.0000;  0.0000;    42.800;  0;  1;   1;;     20240103114951;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   89;  0.0000;  0.0000;   0.00;   0.00;;KNO00001B659549DFCA18;;1;     126;;      27;
KNO; 5486453.97835; 5639000.73271;K1036;     0.000;;  0.0000;;  90.0;   0.00;  4.0538;  0.7008;  5.0668;  0.0000;  0.0000;    42.828;  0;  1;   1;;     20240103114951;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   90;  0.0000;  0.0000;   0.00;   0.00;;KNO00001C659549DF3CA5;;1;     126;;      28;
KNO; 5486441.94657; 5639011.56057;K1037;     0.000;;  0.0000;;  90.0;   0.00;  4.0532;  0.7008;  5.0662;  0.0000;  0.0000;    42.821;  0;  1;   1;;     20240103114952;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   91;  0.0000;  0.0000;   0.00;   0.00;;KNO00001D659549E0BCDC;;1;     126;;      29;
KNO; 5486430.83780; 5639020.58665;K1038;     0.000;;  0.0000;;  90.0;   0.00;  4.0571;  0.7008;  5.0701;  0.0000;  0.0000;    42.863;  0;  1;   1;;     20240103114952;;   0.00;jp66tyda;       0.00;       0.00;  965.20;  316.85;      0.0000;      0.0000;   0.0;      0.000;;     0;     0;;;;  1000.0000;       0.00; 0;0;;    0.0000;J;   92;  0.0000;  0.0000;   0.00;   0.00;;KNO00001E659549E067F0;;1;     126;;      30;
